,precision,recall,f1,iou_th,lam3,threshold,record
4,0.4533261802575107,0.4360165118679051,0.44450289321409786,0.5,45,0.5,01-02-0010
5,0.3492489270386266,0.33591331269349844,0.34245134139926353,0.6,45,0.5,01-02-0010
6,0.23605150214592274,0.22703818369453044,0.23145712782745922,0.7,45,0.5,01-02-0010
7,0.13626609442060086,0.13106295149638802,0.13361388742766964,0.8,45,0.5,01-02-0010
8,0.04774678111587983,0.04592363261093911,0.04681746449237243,0.9,45,0.5,01-02-0010
0,0.63631156930126,0.5732714138286894,0.6031487513572203,0.1,46,0.5,01-02-0010
1,0.6311569301260023,0.5686274509803921,0.5982627578718784,0.2,46,0.5,01-02-0010
2,0.6088201603665521,0.5485036119711042,0.5770901194353962,0.3,46,0.5,01-02-0010
3,0.5521191294387171,0.49742002063983487,0.5233441910966341,0.4,46,0.5,01-02-0010
4,0.4599083619702176,0.41434468524251805,0.4359391965255157,0.5,46,0.5,01-02-0010
5,0.3516609392898053,0.31682146542827655,0.3333333333333333,0.6,46,0.5,01-02-0010
6,0.2325315005727377,0.20949432404540763,0.22041259500542887,0.7,46,0.5,01-02-0010
7,0.13631156930126,0.12280701754385964,0.1292073832790445,0.8,46,0.5,01-02-0010
8,0.0441008018327606,0.03973168214654283,0.04180238870792617,0.9,46,0.5,01-02-0010
0,0.6423357664233577,0.544891640866873,0.5896147403685091,0.1,47,0.5,01-02-0010
1,0.6368613138686131,0.5402476780185759,0.5845896147403685,0.2,47,0.5,01-02-0010
2,0.610705596107056,0.5180598555211559,0.5605806811836963,0.3,47,0.5,01-02-0010
3,0.5541362530413625,0.47007223942208465,0.5086543830262423,0.4,47,0.5,01-02-0010
4,0.4604622871046229,0.39060887512899894,0.42266890005583474,0.5,47,0.5,01-02-0010
5,0.3497566909975669,0.29669762641898867,0.3210496929089894,0.6,47,0.5,01-02-0010
6,0.23357664233576642,0.19814241486068113,0.21440536013400335,0.7,47,0.5,01-02-0010
7,0.1411192214111922,0.1197110423116615,0.129536571747627,0.8,47,0.5,01-02-0010
8,0.04562043795620438,0.03869969040247678,0.04187604690117253,0.9,47,0.5,01-02-0010
0,0.6482444733420026,0.5144478844169247,0.5736478711162256,0.1,48,0.5,01-02-0010
1,0.6417425227568271,0.5092879256965944,0.5678941311852704,0.2,48,0.5,01-02-0010
2,0.6196358907672301,0.4917440660474716,0.548331415420023,0.3,48,0.5,01-02-0010
3,0.5572171651495449,0.4422084623323013,0.49309551208285385,0.4,48,0.5,01-02-0010
4,0.4616384915474642,0.36635706914344685,0.4085155350978136,0.5,48,0.5,01-02-0010
5,0.34785435630689204,0.2760577915376677,0.30782508630609895,0.6,48,0.5,01-02-0010
6,0.235370611183355,0.1867905056759546,0.2082853855005754,0.7,48,0.5,01-02-0010
7,0.1378413524057217,0.10939112487100103,0.12197928653624855,0.8,48,0.5,01-02-0010
8,0.043563068920676205,0.03457172342621259,0.038550057537399304,0.9,48,0.5,01-02-0010
0,0.573822463768116,0.8237971391417426,0.6764548852108916,0.1,45,0.5,01-02-0011
1,0.5688405797101449,0.8166449934980494,0.6705819540843566,0.2,45,0.5,01-02-0011
2,0.5602355072463768,0.8042912873862159,0.6604378003203417,0.3,45,0.5,01-02-0011
3,0.5339673913043478,0.7665799739921977,0.6294714361986119,0.4,45,0.5,01-02-0011
4,0.4832427536231884,0.6937581274382315,0.5696743192738922,0.5,45,0.5,01-02-0011
5,0.4107789855072464,0.5897269180754227,0.4842498665242926,0.6,45,0.5,01-02-0011
6,0.31431159420289856,0.45123537061118335,0.37052856380138816,0.7,45,0.5,01-02-0011
7,0.19791666666666666,0.28413524057217165,0.23331553657234383,0.8,45,0.5,01-02-0011
8,0.07246376811594203,0.10403120936280884,0.08542445274959957,0.9,45,0.5,01-02-0011
0,0.5937649880095923,0.8049414824447334,0.6834115373999448,0.1,46,0.5,01-02-0011
1,0.5894484412470024,0.7990897269180754,0.6784432790505106,0.2,46,0.5,01-02-0011
2,0.5750599520383693,0.7795838751625488,0.66188241788573,0.3,46,0.5,01-02-0011
3,0.5501199040767386,0.7457737321196359,0.6331769252001104,0.4,46,0.5,01-02-0011
4,0.4983213429256595,0.6755526657997399,0.5735578250069003,0.5,46,0.5,01-02-0011
