,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,record,evaluation
3,0.44096385542168676,0.6918714555765595,0.5386313465783664,0.4,0.5839775411944137,0.5524354105224445,0.5677687362120161,01-02-0019,record
4,0.3608433734939759,0.5661625708884688,0.4407652685798381,0.5,0.5839775411944137,0.5524354105224445,0.5677687362120161,01-02-0019,record
5,0.27349397590361446,0.42911153119092627,0.3340691685062546,0.6,0.5839775411944137,0.5524354105224445,0.5677687362120161,01-02-0019,record
6,0.17951807228915662,0.28166351606805295,0.21927888153053715,0.7,0.5839775411944137,0.5524354105224445,0.5677687362120161,01-02-0019,record
7,0.086144578313253,0.13516068052930058,0.10522442972774097,0.8,0.5839775411944137,0.5524354105224445,0.5677687362120161,01-02-0019,record
8,0.02289156626506024,0.035916824196597356,0.027961736571008096,0.9,0.5839775411944137,0.5524354105224445,0.5677687362120161,01-02-0019,record
0,0.8303973781237198,0.7905616224648986,0.8099900099900099,0.1,0.8545507644428195,0.5172995951417004,0.6444708220336561,01-02-0001,N2
1,0.8136009832036051,0.7745709828393136,0.7936063936063936,0.2,0.8545507644428195,0.5172995951417004,0.6444708220336561,01-02-0001,N2
2,0.7554281032363785,0.719188767550702,0.7368631368631369,0.3,0.8545507644428195,0.5172995951417004,0.6444708220336561,01-02-0001,N2
3,0.6722654649733716,0.640015600624025,0.6557442557442559,0.4,0.8545507644428195,0.5172995951417004,0.6444708220336561,01-02-0001,N2
4,0.5653420729209341,0.5382215288611545,0.5514485514485515,0.5,0.8545507644428195,0.5172995951417004,0.6444708220336561,01-02-0001,N2
5,0.4358869315854158,0.41497659906396256,0.4251748251748252,0.6,0.8545507644428195,0.5172995951417004,0.6444708220336561,01-02-0001,N2
6,0.28226136829168375,0.26872074882995317,0.2753246753246753,0.7,0.8545507644428195,0.5172995951417004,0.6444708220336561,01-02-0001,N2
7,0.1364195002048341,0.12987519500780031,0.13306693306693307,0.8,0.8545507644428195,0.5172995951417004,0.6444708220336561,01-02-0001,N2
8,0.03441212617779599,0.0327613104524181,0.03356643356643357,0.9,0.8545507644428195,0.5172995951417004,0.6444708220336561,01-02-0001,N2
0,0.701989150090416,0.8348387096774194,0.762671905697446,0.1,0.768786808703803,0.5672845753859271,0.6528407142481679,01-02-0002,N2
1,0.6900542495479204,0.8206451612903226,0.749705304518664,0.2,0.768786808703803,0.5672845753859271,0.6528407142481679,01-02-0002,N2
2,0.6484629294755877,0.7711827956989248,0.7045186640471512,0.3,0.768786808703803,0.5672845753859271,0.6528407142481679,01-02-0002,N2
3,0.5783001808318264,0.687741935483871,0.6282907662082515,0.4,0.768786808703803,0.5672845753859271,0.6528407142481679,01-02-0002,N2
4,0.4820976491862568,0.5733333333333334,0.5237721021611002,0.5,0.768786808703803,0.5672845753859271,0.6528407142481679,01-02-0002,N2
5,0.36528028933092227,0.4344086021505376,0.3968565815324165,0.6,0.768786808703803,0.5672845753859271,0.6528407142481679,01-02-0002,N2
6,0.25063291139240507,0.29806451612903223,0.2722986247544204,0.7,0.768786808703803,0.5672845753859271,0.6528407142481679,01-02-0002,N2
7,0.12658227848101267,0.15053763440860216,0.13752455795677804,0.8,0.768786808703803,0.5672845753859271,0.6528407142481679,01-02-0002,N2
8,0.0325497287522604,0.03870967741935484,0.03536345776031434,0.9,0.768786808703803,0.5672845753859271,0.6528407142481679,01-02-0002,N2
0,0.6918335901386748,0.7265372168284789,0.7087608524072613,0.1,0.7196231689010818,0.47024123608123286,0.5687984060028558,01-02-0003,N2
1,0.6856702619414484,0.7200647249190939,0.7024467245461721,0.2,0.7196231689010818,0.47024123608123286,0.5687984060028558,01-02-0003,N2
2,0.650231124807396,0.6828478964401294,0.6661404893449092,0.3,0.7196231689010818,0.47024123608123286,0.5687984060028558,01-02-0003,N2
3,0.5701078582434514,0.598705501618123,0.5840568271507498,0.4,0.7196231689010818,0.47024123608123286,0.5687984060028558,01-02-0003,N2
4,0.4591679506933744,0.48220064724919093,0.47040252565114443,0.5,0.7196231689010818,0.47024123608123286,0.5687984060028558,01-02-0003,N2
5,0.31741140215716485,0.3333333333333333,0.3251775848460931,0.6,0.7196231689010818,0.47024123608123286,0.5687984060028558,01-02-0003,N2
6,0.21571648690292758,0.22653721682847897,0.22099447513812157,0.7,0.7196231689010818,0.47024123608123286,0.5687984060028558,01-02-0003,N2
7,0.11093990755007704,0.11650485436893204,0.11365430149960536,0.8,0.7196231689010818,0.47024123608123286,0.5687984060028558,01-02-0003,N2
8,0.03543913713405239,0.0372168284789644,0.036306235201262825,0.9,0.7196231689010818,0.47024123608123286,0.5687984060028558,01-02-0003,N2
0,0.6267696267696268,0.7873888439773646,0.697957721246865,0.1,0.6420771756978654,0.5568173727305091,0.5964156339370831,01-02-0005,N2
1,0.620978120978121,0.7801131770412287,0.6915084199211752,0.2,0.6420771756978654,0.5568173727305091,0.5964156339370831,01-02-0005,N2
2,0.5997425997425997,0.7534357316087308,0.6678609817269795,0.3,0.6420771756978654,0.5568173727305091,0.5964156339370831,01-02-0005,N2
3,0.5495495495495496,0.6903799514955538,0.6119670369043354,0.4,0.6420771756978654,0.5568173727305091,0.5964156339370831,01-02-0005,N2
4,0.45366795366795365,0.5699272433306386,0.5051952705123611,0.5,0.6420771756978654,0.5568173727305091,0.5964156339370831,01-02-0005,N2
5,0.34555984555984554,0.43411479385610346,0.38480831243281977,0.6,0.6420771756978654,0.5568173727305091,0.5964156339370831,01-02-0005,N2
6,0.22651222651222652,0.28455941794664513,0.2522393407380867,0.7,0.6420771756978654,0.5568173727305091,0.5964156339370831,01-02-0005,N2
7,0.11647361647361647,0.1463217461600647,0.1297026155499821,0.8,0.6420771756978654,0.5568173727305091,0.5964156339370831,01-02-0005,N2
8,0.026383526383526385,0.033144704931285365,0.0293801504836976,0.9,0.6420771756978654,0.5568173727305091,0.5964156339370831,01-02-0005,N2
0,0.5952143569292123,0.6854190585533869,0.6371398078975452,0.1,0.6083994141444121,0.466649510555957,0.5281792899093413,01-02-0006,N2
1,0.5872382851445663,0.6762342135476463,0.6286019210245465,0.2,0.6083994141444121,0.466649510555957,0.5281792899093413,01-02-0006,N2
2,0.5603190428713859,0.6452353616532721,0.5997865528281751,0.3,0.6083994141444121,0.466649510555957,0.5281792899093413,01-02-0006,N2
3,0.5044865403788634,0.5809414466130884,0.5400213447171825,0.4,0.6083994141444121,0.466649510555957,0.5281792899093413,01-02-0006,N2
4,0.4147557328015952,0.47761194029850745,0.4439701173959445,0.5,0.6083994141444121,0.466649510555957,0.5281792899093413,01-02-0006,N2
5,0.33100697906281157,0.3811710677382319,0.3543223052294557,0.6,0.6083994141444121,0.466649510555957,0.5281792899093413,01-02-0006,N2
6,0.2073778664007976,0.23880597014925373,0.22198505869797225,0.7,0.6083994141444121,0.466649510555957,0.5281792899093413,01-02-0006,N2
7,0.10568295114656032,0.12169919632606199,0.11312700106723586,0.8,0.6083994141444121,0.466649510555957,0.5281792899093413,01-02-0006,N2
8,0.03290129611166501,0.03788748564867968,0.035218783351120594,0.9,0.6083994141444121,0.466649510555957,0.5281792899093413,01-02-0006,N2
0,0.4927679158448389,0.8922619047619048,0.6349004659042778,0.1,0.5799098938881972,0.6821714388479967,0.6268977386080875,01-02-0007,N2
1,0.48586456278763973,0.8797619047619047,0.626005929690809,0.2,0.5799098938881972,0.6821714388479967,0.6268977386080875,01-02-0007,N2
